# x, y, omega
# 
425.754798 202.782377 -0.006477
431.063194 202.495077 -0.007719
436.437247 202.715439 -0.008964
442.293343 203.032903 -0.010399
447.353700 203.097341 -0.011737
453.188105 203.943276 -0.013230
458.403446 205.344091 -0.014555
464.151928 207.398728 -0.016013
468.809763 209.453315 -0.017202
474.664273 212.439727 -0.018915
479.517594 215.725038 -0.020287
484.589130 219.645901 -0.021734
489.826339 224.282669 -0.023260
493.375762 227.812551 -0.024319
498.059945 233.466127 -0.025964
501.220204 237.889345 -0.027085
504.319714 242.701526 -0.028223
507.318619 247.917620 -0.029375
510.172605 253.549226 -0.030535
512.366364 259.244323 -0.031697
514.548331 265.727854 -0.032849
516.426749 272.592847 -0.033981
517.946742 279.823258 -0.035085
519.052870 287.394834 -0.036152
519.412868 295.292145 -0.037168
519.274251 303.447112 -0.038114
518.566520 311.770210 -0.038979
517.254630 320.197228 -0.039750
514.859239 328.139567 -0.040413
512.060076 336.564052 -0.040951
508.613892 344.819840 -0.041351
504.206702 352.220732 -0.041603
499.329360 359.937590 -0.041694
493.896835 367.202857 -0.041613
487.976204 373.947552 -0.041357
481.377398 379.446659 -0.040924
474.512034 385.052553 -0.040311
467.408655 389.971584 -0.039519
460.168958 394.192625 -0.038555
452.693510 397.010977 -0.037429
445.229970 399.834264 -0.036150
437.919440 401.983890 -0.034728
430.845191 403.509497 -0.033180
424.078188 404.470128 -0.031525
417.428233 404.251957 -0.029781
411.185009 404.354693 -0.027961
405.374929 404.066395 -0.026084
400.021940 403.456818 -0.024168
392.874156 402.084142 -0.021263
386.737314 399.620169 -0.018369
381.392816 396.944975 -0.015529
375.597592 394.196012 -0.011881
371.323006 391.515220 -0.008461
367.330086 387.940847 -0.003879
365.600594 383.201053 0.002577
369.479710 379.692042 0.007279
374.090369 377.160368 0.008702
378.202871 373.796900 0.008972
383.355095 371.563695 0.008632
387.768187 369.045764 0.007873
391.856491 365.717836 0.006729
394.897633 360.932226 0.005619
396.701646 356.059773 0.004912
399.589288 351.659241 0.003637
401.786597 346.683245 0.002316
403.181207 341.710995 0.001187
404.098598 336.301692 0.000199
404.454952 331.308021 -0.000480
404.652140 326.294761 -0.000962
405.081930 320.953514 -0.001367
405.575504 315.740277 -0.001703
405.873768 310.500171 -0.001988
406.327458 305.388301 -0.002236
406.277270 300.246876 -0.002407
405.700852 295.119301 -0.002512
405.353945 289.928858 -0.002511
405.329330 284.828026 -0.002487
405.617752 279.829225 -0.002507
406.295341 274.547414 -0.002624
407.401390 269.431476 -0.002879
410.484018 265.338723 -0.003754
413.435860 261.005296 -0.004910
415.669127 256.429046 -0.005783
419.018587 252.679175 -0.006841
423.480915 249.926239 -0.008201
428.032795 247.620086 -0.009855
433.335935 247.382958 -0.011686
438.617376 248.203140 -0.013465
444.061233 249.812062 -0.015559
448.686006 252.448622 -0.017314
452.854359 255.440224 -0.018911
456.717788 258.742263 -0.020627
460.672110 263.570340 -0.022422
463.777732 268.139015 -0.023903
466.336142 273.094535 -0.025405
468.591328 279.035176 -0.026884
470.010175 283.886362 -0.027962
471.141692 290.517363 -0.029334
471.488999 296.097852 -0.030279
471.406111 301.861275 -0.031131
470.657937 307.361688 -0.031872
469.325360 313.350666 -0.032476
467.470885 319.259500 -0.032919
465.103539 325.005495 -0.033187
